"variable","mean","median","sd","mad","q5","q95"
"p_fit[20,3]",0.745386919775,0.754099,0.0785629931054217,0.0440183940000001,0.6664439,0.82441515
"p_fit[21,3]",0.745386953725,0.754099,0.0785629858860313,0.0440183940000001,0.6664439,0.82441515
"p_fit[22,3]",0.745387979075,0.7541,0.0785628520689935,0.0440176527,0.66644395,0.82441615
"p_fit[23,3]",0.745389398825,0.7541015,0.0785626383333878,0.0440154288,0.66644495,0.82441715
"p_fit[24,3]",0.7453903122,0.7541025,0.0785625035584073,0.0440154288,0.66644595,0.82441715
"p_fit[25,3]",0.7453903414,0.7541025,0.078562508083416,0.0440154288,0.66644595,0.82441715
"p_fit[26,3]",0.745390385525,0.7541025,0.0785624971365933,0.0440154288,0.66644595,0.82441715
"p_fit[27,3]",0.745390611925,0.7541025,0.0785624711149039,0.0440146875,0.66644595,0.8244172
"p_fit[28,3]",0.745390678225,0.7541025,0.0785624563134575,0.0440146875,0.66644595,0.8244172
"p_fit[29,3]",0.74539147645,0.7541035,0.0785623402084062,0.0440139462,0.666446,0.82441815
"p_fit[30,3]",0.74539495965,0.7541065,0.078561857989684,0.0440139462,0.66644805,0.8244202
"p_fit[31,3]",0.745395957375,0.7541075,0.0785617095458558,0.0440139462,0.66644905,0.82442115
"p_fit[32,3]",0.74539744135,0.754109,0.0785615027044654,0.0440132049,0.66645005,0.82442215
"p_fit[33,3]",0.7453989326,0.7541105,0.0785612919571728,0.0440139462,0.66645105,0.82442315
"p_fit[34,3]",0.745399542125,0.754111,0.0785612065275227,0.0440139462,0.6664511,0.8244232
"p_fit[35,3]",0.745399697425,0.754111,0.0785611843256881,0.0440132049,0.6664511,0.8244232
"p_fit[36,3]",0.745404102,0.7541155,0.0785605593591608,0.0440139462,0.6664541,0.8244262
"p_fit[37,3]",0.74540440635,0.7541155,0.0785605085074204,0.0440139461999999,0.66645415,0.8244262
"p_fit[38,3]",0.74540530075,0.7541165,0.0785603905166694,0.0440132049,0.6664551,0.82442715
"p_fit[39,3]",0.78785936345,0.795912,0.0736833673728038,0.0524506815000001,0.6947998,0.87449925
"p_fit[40,3]",0.787859388225,0.795912,0.0736833612059489,0.0524506815000001,0.6947998,0.87449925
"p_fit[41,3]",0.7878595443,0.795912,0.0736833375195451,0.0524506815000001,0.6947998,0.87449925
"p_fit[42,3]",0.787859861975,0.7959125,0.0736832968777137,0.0524499402,0.6947998,0.87449925
"p_fit[43,3]",0.787860089575,0.7959125,0.0736832701490509,0.0524506814999999,0.69480075,0.87450025
"p_fit[44,3]",0.78786070715,0.7959135,0.0736831818402032,0.0524499402000001,0.6948008,0.8745003
"p_fit[45,3]",0.787861257925,0.7959135,0.073683120977673,0.0524506815000001,0.69480175,0.87450125
"p_fit[46,3]",0.787862328475,0.7959145,0.0736829693672717,0.0524514228,0.69480275,0.8745023
"p_fit[47,3]",0.78786306635,0.7959155,0.0736828813713143,0.0524506815,0.69480375,0.8745033
"p_fit[48,3]",0.787863100375,0.7959155,0.073682880024273,0.0524506815,0.69480375,0.8745033
"p_fit[49,3]",0.787863108875,0.7959155,0.0736828788395851,0.0524506815,0.69480375,0.8745033
"p_fit[50,3]",0.7878634698,0.795916,0.0736828264497268,0.0524506814999999,0.69480375,0.87450425
"p_fit[51,3]",0.787864007075,0.795916,0.0736827658393437,0.0524506814999999,0.69480475,0.87450525
"p_fit[52,3]",0.78786436625,0.795917,0.0736827165911225,0.0524499402,0.69480475,0.8745053
"p_fit[53,3]",0.7878646594,0.795917,0.0736826731136291,0.0524506815,0.6948048,0.8745053
"p_fit[54,3]",0.787864976325,0.795917,0.0736826361642656,0.0524506815,0.69480575,0.8745063
"p_fit[55,3]",0.7878652457,0.7959175,0.0736826041890867,0.0524506814999999,0.69480575,0.8745063
"p_fit[56,3]",0.787865394775,0.795918,0.0736825767469425,0.0524499402000001,0.69480575,0.8745063
"p_fit[57,3]",0.787865568125,0.795918,0.0736825566736934,0.0524506815000002,0.69480575,0.8745063
"p_fit[58,3]",0.787865757975,0.795918,0.0736825324868635,0.0524506815000002,0.69480675,0.8745073
"p_fit[59,3]",0.787865887525,0.7959185,0.0736825214724098,0.0524499402000001,0.69480675,0.8745073
"p_fit[60,3]",0.78786630875,0.7959185,0.0736824579871707,0.0524506815000001,0.69480675,0.8745073
"p_fit[61,3]",0.787866977075,0.7959195,0.0736823794881202,0.0524499402,0.69480775,0.8745083
"p_fit[62,3]",0.7878670136,0.7959195,0.0736823684469639,0.0524499402,0.69480775,0.8745083
"p_fit[63,3]",0.7878671942,0.7959195,0.0736823458825093,0.0524506815,0.69480775,0.87450835
"p_fit[64,3]",0.78786781775,0.7959205,0.0736822682394839,0.0524499402,0.69480875,0.87450935
"p_fit[65,3]",0.787868338775,0.7959205,0.0736822070183573,0.0524506814999999,0.69480875,0.8745103
"p_fit[66,3]",0.7878683728,0.7959205,0.0736822018245201,0.0524506814999999,0.69480875,0.8745103
"p_fit[67,3]",0.787868446575,0.795921,0.0736821892964092,0.0524499402,0.69480875,0.8745103
"p_fit[68,3]",0.787869027625,0.7959215,0.0736821102277459,0.0524506815000001,0.69480975,0.8745113
"p_fit[69,3]",0.787869110675,0.7959215,0.0736820963126744,0.0524506815000001,0.69480975,0.8745113
"p_fit[70,3]",0.78786966195,0.795922,0.0736820250581999,0.0524506815,0.6948107,0.8745123
"p_fit[71,3]",0.78786966195,0.795922,0.0736820250581999,0.0524506815,0.6948107,0.8745123
"p_fit[72,3]",0.7878700594,0.795922,0.0736819774898252,0.0524514228,0.69481075,0.87451235
"p_fit[73,3]",0.787870285525,0.795923,0.0736819491059336,0.0524499402000001,0.69481075,0.87451235
"p_fit[74,3]",0.787870292025,0.795923,0.0736819449831317,0.0524499402000001,0.69481075,0.87451235
"p_fit[75,3]",0.7878714181,0.7959235,0.0736818014500139,0.0524506814999999,0.6948127,0.87451435
"p_fit[76,3]",0.787871566675,0.795924,0.0736817792514816,0.0524506814999998,0.6948127,0.87451435
"p_fit[77,3]",0.78787171725,0.795924,0.0736817632687994,0.0524506814999998,0.6948127,0.87451435
"p_fit[78,3]",0.787872261275,0.7959245,0.0736816922053949,0.0524506815000001,0.6948137,0.87451535
"p_fit[79,3]",0.787872376325,0.7959245,0.0736816700369808,0.0524506815000001,0.6948137,0.87451535
"p_fit[80,3]",0.787872661475,0.7959245,0.0736816364860928,0.0524514228000001,0.6948137,0.87451535
"p_fit[81,3]",0.787873076175,0.7959255,0.073681587661409,0.0524506814999999,0.69481375,0.87451635
"p_fit[82,3]",0.787873177475,0.7959255,0.0736815740553178,0.0524506814999999,0.6948147,0.87451635
"p_fit[83,3]",0.787873752775,0.795926,0.0736815051402529,0.0524506815,0.6948147,0.87451735
"p_fit[84,3]",0.7878739669,0.7959265,0.07368147931583,0.0524499402000001,0.6948147,0.87451735
"p_fit[85,3]",0.787874942375,0.795927,0.0736813431119689,0.0524506814999999,0.6948157,0.8745184
"p_fit[86,3]",0.78787517975,0.7959275,0.0736813090121258,0.0524506814999999,0.6948167,0.8745184
"p_fit[87,3]",0.7878760502,0.795928,0.0736812006357532,0.0524514228,0.69481765,0.8745194
"p_fit[88,3]",0.78787613075,0.7959285,0.0736811866298274,0.0524506814999999,0.6948177,0.87452035
"p_fit[89,3]",0.7878764434,0.795929,0.0736811531881167,0.0524499402,0.6948177,0.8745204
"p_fit[90,3]",0.78787742815,0.7959295,0.0736810209603818,0.0524506815000001,0.6948187,0.8745214
"p_fit[91,3]",0.78787753845,0.7959295,0.0736810144674849,0.0524506815000001,0.6948187,0.8745214
"p_fit[92,3]",0.787878042975,0.7959305,0.0736809448615874,0.0524506814999998,0.69481965,0.8745224
"p_fit[93,3]",0.7878787263,0.795931,0.0736808562216458,0.0524499402000001,0.6948197,0.8745234
"p_fit[94,3]",0.78787873105,0.795931,0.0736808555661307,0.0524499402000001,0.6948197,0.8745234
"p_fit[95,3]",0.7878788076,0.795931,0.0736808454076514,0.0524506815000001,0.69482065,0.8745234
"p_fit[96,3]",0.787879257575,0.7959315,0.0736807885619074,0.0524506814999999,0.6948207,0.87452345
"p_fit[97,3]",0.78787940265,0.7959315,0.0736807823199502,0.0524506814999999,0.6948207,0.8745244
"p_fit[98,3]",0.787879529225,0.795932,0.0736807577573018,0.0524499402,0.6948207,0.8745244
"p_fit[99,3]",0.787880139275,0.7959325,0.0736806765596539,0.0524506815000001,0.69482165,0.8745254
"p_fit[100,3]",0.78788028385,0.7959325,0.0736806606880474,0.0524506815000001,0.6948217,0.8745254
"p_fit[101,3]",0.787880624525,0.795933,0.0736806221359864,0.0524499402,0.6948217,0.8745254
"p_fit[102,3]",0.787880930425,0.795933,0.0736805750337303,0.0524506815,0.69482265,0.87452545
"p_fit[103,3]",0.787880997975,0.795933,0.0736805582748561,0.0524506815,0.69482265,0.8745264
"p_fit[104,3]",0.7878810775,0.795933,0.0736805588650335,0.0524514228,0.69482265,0.8745264
"p_fit[105,3]",0.787881136025,0.795933,0.0736805475974868,0.0524514228,0.69482265,0.8745264
"p_fit[106,3]",0.78788116655,0.795933,0.0736805425373471,0.0524514228,0.69482265,0.8745264
"p_fit[107,3]",0.7878812781,0.7959335,0.0736805286606979,0.0524506815000001,0.69482265,0.8745264
"p_fit[108,3]",0.78788138065,0.795934,0.0736805177541867,0.0524499402000001,0.6948227,0.87452645
"p_fit[109,3]",0.787883532,0.7959355,0.0736802307396254,0.0524506814999999,0.69482565,0.87452945
"p_fit[110,3]",0.78788399675,0.7959365,0.0736801786661264,0.0524499401999999,0.69482565,0.87452945
"p_fit[111,3]",0.787884372175,0.7959365,0.0736801220978114,0.0524506814999999,0.6948266,0.87453045
"p_fit[112,3]",0.787884431225,0.7959365,0.0736801198642514,0.0524506814999999,0.6948266,0.87453045
"p_fit[113,3]",0.81901390525,0.8197495,0.0257222549364364,0.0247268028,0.776286,0.8592165
"p_fit[114,3]",0.819004711,0.819742,0.025722359973477,0.0247268028,0.776276,0.8592065
"p_fit[115,3]",0.81900255775,0.8197395,0.0257223836285257,0.0247268028,0.776274,0.85920445
"p_fit[116,3]",0.819001043,0.8197385,0.0257224030636718,0.0247260615,0.776272,0.8592025
"p_fit[117,3]",0.8189967445,0.8197345,0.0257224448865374,0.0247253202,0.776268,0.8591975
"p_fit[118,3]",0.81898583525,0.8197255,0.0257225802751709,0.0247268028,0.77625605,0.8591855
"p_fit[119,3]",0.81898114825,0.819722,0.0257226442986078,0.0247275441000001,0.77625105,0.8591805
"p_fit[120,3]",0.81897839575,0.8197195,0.0257226795112978,0.0247275441000001,0.77624805,0.85917655
"p_fit[121,3]",0.81897811925,0.8197195,0.0257226629701922,0.0247275441000001,0.77624805,0.8591765
"p_fit[122,3]",0.81897571725,0.819717,0.025722697438336,0.0247275441000001,0.776246,0.85917355
"p_fit[123,3]",0.717142913,0.7182505,0.0285787311977308,0.0277920783,0.6692456,0.761257
"p_fit[124,3]",0.7171417035,0.7182495,0.0285787826011156,0.0277905957,0.66924365,0.761256
"p_fit[125,3]",0.717138758,0.7182465,0.0285789257504144,0.0277905957,0.6692397,0.76125395
"p_fit[126,3]",0.71713139475,0.7182385,0.0285792547140566,0.0277905957,0.66922985,0.76124695
"p_fit[127,3]",0.71713033425,0.7182375,0.0285792992930818,0.0277905956999999,0.6692279,0.76124595
"p_fit[128,3]",0.717129774,0.7182365,0.0285793323329215,0.0277905957000001,0.6692279,0.7612459
"p_fit[129,3]",0.71712947475,0.7182365,0.028579342733041,0.0277905957000001,0.66922695,0.7612459
"p_fit[130,3]",0.7171294485,0.7182365,0.0285793422633884,0.0277905957000001,0.6692269,0.7612459
"p_fit[131,3]",0.717128107,0.718235,0.0285794174905836,0.0277898544000001,0.66922495,0.76124485
"p_fit[132,3]",0.7171247415,0.7182315,0.0285795522680576,0.0277898544000001,0.669221,0.76124185
"p_fit[133,3]",0.7171247225,0.7182315,0.0285795568353801,0.0277898544000001,0.669221,0.76124185
"p_fit[134,3]",0.717120815,0.7182275,0.028579733351772,0.0277891131,0.6692151,0.76123785
"p_fit[135,3]",0.71712047325,0.718227,0.0285797532351931,0.0277898544000001,0.6692151,0.76123785
"p_fit[136,3]",0.7171183605,0.718225,0.0285798531758725,0.0277891131,0.66921215,0.76123585
"p_fit[137,3]",0.7171179205,0.7182245,0.0285798715493286,0.0277891131,0.6692112,0.7612358
"p_fit[138,3]",0.717117697,0.718224,0.0285798875270785,0.0277891131,0.66921115,0.7612358
"p_fit[139,3]",0.71711394675,0.71822,0.0285800565801565,0.0277891130999999,0.66920625,0.7612318
"p_fit[140,3]",0.7171126755,0.718219,0.0285801157643295,0.0277891131000001,0.6692043,0.7612308
"p_fit[141,3]",0.717111064,0.718217,0.0285801782750381,0.0277891131,0.6692023,0.76122975
"p_fit[142,3]",0.71711036225,0.7182165,0.0285802172652738,0.0277891130999999,0.6692013,0.7612288
"p_fit[143,3]",0.71710585875,0.718212,0.0285804223206867,0.0277883717999999,0.6691954,0.76122475
"p_fit[144,3]",0.71710539425,0.718211,0.0285804484741328,0.0277891131000001,0.66919445,0.76122475
"p_fit[145,3]",0.71710453025,0.71821,0.0285804817728232,0.0277898544,0.66919345,0.76122375
"p_fit[146,3]",0.717101322,0.7182065,0.0285806258644911,0.0277891131,0.6691895,0.76122075
"p_fit[147,3]",0.71709972575,0.718205,0.0285807066310548,0.0277891131,0.66918655,0.7612197
"p_fit[148,3]",0.717099254,0.718205,0.0285807314256772,0.0277883718000001,0.66918655,0.76121965
"p_fit[149,3]",0.717088158,0.718193,0.0285812350778212,0.0277891131,0.6691708,0.7612096
"p_fit[150,3]",0.71708813225,0.718193,0.0285812337278871,0.0277891131,0.6691708,0.7612096
"p_fit[151,3]",0.7170878015,0.7181925,0.0285812513935517,0.0277883718,0.6691708,0.7612096
"p_fit[152,3]",0.71708638625,0.7181915,0.0285813152123005,0.0277883718,0.66916885,0.7612086
"p_fit[153,3]",0.717086295,0.718191,0.0285813234356775,0.0277891131,0.66916885,0.7612086
"p_fit[154,3]",0.71707652875,0.718181,0.0285817684965569,0.0277883718000001,0.66915595,0.76119955
"p_fit[155,3]",0.71706891825,0.718173,0.0285821215832575,0.0277876305000001,0.6691488,0.76119345
"p_fit[156,3]",0.717067771,0.7181715,0.0285821745266036,0.0277883718000001,0.66914775,0.76119245
"p_fit[157,3]",0.71706776925,0.7181715,0.0285821747592358,0.0277883718000001,0.66914775,0.76119245
"p_fit[158,3]",0.71706696275,0.7181705,0.0285822034705894,0.0277883717999999,0.66914675,0.76119145
"p_fit[159,3]",0.71706630375,0.71817,0.0285822416362892,0.0277876305,0.6691467,0.76119045
"p_fit[160,3]",0.71706334825,0.718167,0.0285823725870535,0.0277876305,0.66914365,0.7611884
"p_fit[161,3]",0.71705637425,0.7181595,0.0285826922367114,0.0277876304999999,0.66913655,0.7611824
"p_fit[162,3]",0.717054,0.718157,0.0285828027232964,0.0277883718000001,0.6691345,0.76118035
"p_fit[163,3]",0.71705218375,0.7181555,0.0285828843810395,0.0277876305000001,0.66913245,0.76117835
"p_fit[164,3]",0.53007418975,0.5316385,0.0414770735255129,0.0400035132,0.4599877,0.59722595
"p_fit[165,3]",0.53007164725,0.531636,0.0414772723287981,0.0400035132,0.4599847,0.59722295
"p_fit[166,3]",0.5300695765,0.531634,0.0414774429354651,0.0400035132000001,0.4599827,0.59722095
"p_fit[167,3]",0.5300672265,0.531632,0.041477621663379,0.0400027719,0.45998065,0.597218
"p_fit[168,3]",0.5300477975,0.531612,0.041479161014395,0.0400035132,0.45995955,0.5971981
"p_fit[169,3]",0.53003284575,0.531597,0.0414803267647578,0.0400049958,0.4599435,0.59718215
"p_fit[170,3]",0.53003091525,0.531595,0.0414804839382209,0.0400057371,0.45994145,0.59718015
"p_fit[171,3]",0.53001906175,0.531583,0.0414814114379762,0.0400064784,0.4599294,0.5971682
"p_fit[172,3]",0.5300149095,0.5315785,0.041481729905638,0.0400072197,0.45992535,0.59716325
"p_fit[173,3]",0.52999256125,0.531556,0.0414834882546139,0.0400087023,0.45990125,0.59714035
"p_fit[174,3]",0.5299897305,0.531553,0.0414837060124997,0.0400087022999999,0.4598982,0.59713735
"p_fit[175,3]",0.5299893045,0.531553,0.0414837459344858,0.0400094435999999,0.4598982,0.5971364
"p_fit[176,3]",0.529980585,0.531544,0.0414844218487109,0.0400087023000001,0.4598882,0.5971274
"p_fit[177,3]",0.529971654,0.531535,0.0414851248741792,0.0400101849000001,0.4598791,0.59711845
"p_fit[178,3]",0.529969172,0.5315325,0.0414853139099907,0.0400094435999999,0.4598761,0.59711545
"p_fit[179,3]",0.52996611925,0.5315295,0.0414855630456287,0.0400101849,0.4598731,0.59711245
"p_fit[180,3]",0.52995859675,0.531522,0.0414861548439967,0.0400101849,0.45986505,0.5971045
"p_fit[181,3]",0.529956425,0.53152,0.0414863216858717,0.0400094436,0.45986305,0.5971025
"p_fit[182,3]",0.52994954675,0.5315125,0.0414868598745721,0.0400094436,0.459856,0.5970946
"p_fit[183,3]",0.52994950675,0.5315125,0.0414868671384053,0.0400101849,0.459856,0.59709455
"p_fit[184,3]",0.2863711535,0.2853715,0.0534985044352376,0.0516560079,0.20174305,0.3813006
"p_fit[185,3]",0.28636922525,0.2853695,0.0534984963018322,0.0516560079,0.20174105,0.38129865
"p_fit[186,3]",0.28636726375,0.2853675,0.0534984897166563,0.0516560079,0.2017391,0.38129665
"p_fit[187,3]",0.2863628435,0.2853635,0.0534984877908337,0.0516552666,0.20173505,0.38129165
"p_fit[188,3]",0.28635759925,0.2853575,0.0534984775622215,0.0516560079,0.2017301,0.38128665
"p_fit[189,3]",0.28635407925,0.2853545,0.0534984690216635,0.0516552666,0.20172705,0.3812827
"p_fit[190,3]",0.2863515455,0.2853515,0.0534984584153893,0.0516560079,0.2017241,0.38128065
"p_fit[191,3]",0.28634529725,0.2853455,0.0534984463757972,0.0516552666,0.20171905,0.3812737
"p_fit[192,3]",0.2863447515,0.2853445,0.0534984570357178,0.0516552666,0.2017181,0.38127275
"p_fit[193,3]",0.2863369465,0.2853365,0.0534984382837652,0.0516560079,0.20171105,0.38126475
"p_fit[194,3]",0.286328404,0.2853275,0.0534984144300316,0.0516567492,0.20170305,0.38125675
"p_fit[195,3]",0.28632733275,0.2853265,0.0534984151090275,0.0516567492,0.20170205,0.3812548
"p_fit[196,3]",0.286324033,0.285323,0.0534984159668691,0.0516567492,0.20169905,0.38125175
"p_fit[197,3]",0.28632081775,0.28532,0.0534983983457722,0.0516567492,0.20169605,0.38124875
"p_fit[198,3]",0.286315761,0.285315,0.0534984005718752,0.0516560079,0.2016911,0.3812428
"p_fit[199,3]",0.28631434525,0.285313,0.0534983889728768,0.0516574904999999,0.20169005,0.3812418
"p_fit[200,3]",0.28631415275,0.285313,0.053498395832633,0.0516560079,0.2016891,0.3812418
"p_fit[201,3]",0.2863124065,0.285311,0.0534983899909349,0.0516567492,0.2016881,0.3812398
"p_fit[202,3]",0.28630882975,0.2853075,0.0534983867493961,0.0516567492,0.2016841,0.38123585
"p_fit[203,3]",0.28630739925,0.285306,0.0534983722098638,0.0516567492,0.2016831,0.3812348
"p_fit[204,3]",0.2862964,0.285295,0.0534983513394433,0.0516560079,0.2016731,0.38122285
"p_fit[205,3]",0.2862947115,0.285293,0.0534983488669243,0.0516574905,0.2016711,0.38122185
"p_fit[206,3]",0.286292837,0.285291,0.0534983518884285,0.0516567492000001,0.20167005,0.38121985
"p_fit[207,3]",0.28628026775,0.285278,0.053498327652876,0.0516574904999999,0.2016581,0.3812069
"p_fit[208,3]",0.28627136075,0.285269,0.0534983047635834,0.0516567492,0.2016491,0.38119695
"p_fit[209,3]",0.28626697775,0.2852645,0.0534982903537295,0.0516574905,0.2016451,0.38119295
"p_fit[210,3]",0.28626328425,0.285261,0.0534982834047576,0.0516567492,0.2016421,0.38118895
"p_fit[211,3]",0.2862595435,0.285257,0.0534982808395822,0.0516574905,0.2016381,0.38118495
"p_fit[212,3]",0.28625820925,0.2852555,0.0534982821798047,0.0516574905,0.2016371,0.38118395
"p_fit[213,3]",0.2862477335,0.2852445,0.0534982564982128,0.0516582318,0.2016271,0.381173
"p_fit[214,3]",0.2862408995,0.2852375,0.0534982446054061,0.0516582317999999,0.2016211,0.381166
"p_fit[215,3]",0.2862336265,0.28523,0.0534982255260967,0.0516582318,0.2016141,0.38115805
"p_fit[216,3]",0.0297241236925,0.0252593,0.0184970333915223,0.01400048832,0.009237507,0.0663931899999999
"p_fit[217,3]",0.0297212278225,0.02525655,0.0184958350708658,0.01399922811,0.0092361895,0.0663884649999999
"p_fit[218,3]",0.02972077465,0.02525615,0.0184956454615778,0.01399915398,0.00923598,0.0663876649999999
"p_fit[219,3]",0.0297201384525,0.02525555,0.0184953827366935,0.01399885746,0.009235691,0.0663866549999999
"p_fit[220,3]",0.02971973389,0.0252552,0.0184952123889136,0.0139987092,0.009235511,0.0663859549999999
"p_fit[221,3]",0.029719627765,0.0252551,0.018495167436372,0.01399856094,0.009235461,0.0663857549999999
"p_fit[222,3]",0.02971938318,0.02525485,0.0184950680077965,0.01399848681,0.009235351,0.0663853549999999
"p_fit[223,3]",0.029715553185,0.0252513,0.0184934773462289,0.01399693008,0.009233595,0.0663790249999999
"p_fit[224,3]",0.02971547226,0.02525125,0.0184934448452872,0.01399685595,0.009233565,0.0663789249999999
"p_fit[225,3]",0.0297143948,0.02525025,0.0184929981411296,0.01399641117,0.0092330665,0.0663771149999999
"p_fit[226,3]",0.029713536755,0.02524945,0.0184926412236983,0.01399604052,0.009232677,0.0663757099999999
"p_fit[227,3]",0.029712256035,0.02524825,0.0184921104130126,0.01399552161,0.009232098,0.0663735999999999
"p_fit[228,3]",0.029712201075,0.02524815,0.0184920877906321,0.01399552161,0.009232068,0.0663734999999999
"p_fit[229,3]",0.02971180899,0.0252478,0.0184919266093591,0.01399529922,0.0092318885,0.0663728949999999
"p_fit[230,3]",0.02971111258,0.02524715,0.0184916342328267,0.01399507683,0.0092315695,0.0663716899999999
"p_fit[231,3]",0.0297109124775,0.02524695,0.0184915546083488,0.01399492857,0.0092314795,0.0663713899999999
"p_fit[232,3]",0.02971069145,0.02524675,0.0184914595094254,0.01399485444,0.0092313795,0.0663709899999999
"p_fit[233,3]",0.0297093197875,0.02524545,0.0184908919389765,0.0139942614,0.009230751,0.0663687749999999
"p_fit[234,3]",0.0297091258425,0.0252453,0.0184908094074552,0.01399418727,0.0092306705,0.0663683799999999
"p_fit[235,3]",0.029707724285,0.02524395,0.0184902278520686,0.01399366836,0.0092300225,0.0663660699999999
"p_fit[236,3]",0.0297072842775,0.02524355,0.0184900457847889,0.01399344597,0.009229823,0.0663653649999999
"p_fit[237,3]",0.0297071030775,0.02524345,0.0184899722495458,0.01399322358,0.009229743,0.0663650599999999
"p_fit[238,3]",0.029706340615,0.0252427,0.0184896570559187,0.01399292706,0.0092293935,0.0663638549999999
"p_fit[239,3]",0.029703602845,0.02524015,0.0184885173750042,0.01399151859,0.009228146,0.0663593349999999
"p_fit[240,3]",0.0297025302875,0.02523915,0.0184880725377023,0.01399107381,0.009227657,0.0663575249999999
"p_fit[241,3]",0.029702492845,0.02523915,0.0184880571066302,0.01399099968,0.009227637,0.0663574299999999
"p_fit[242,3]",0.0297022378775,0.02523885,0.0184879528423211,0.01399092555,0.009227527,0.0663570249999999
"p_fit[243,3]",0.0297021860125,0.02523885,0.0184879308386772,0.01399085142,0.0092274975,0.0663569249999999
"p_fit[244,3]",0.0297019117475,0.02523855,0.0184878150883964,0.01399077729,0.0092273775,0.0663565199999999
"p_fit[245,3]",0.0297015249175,0.0252382,0.0184876550252049,0.0139905549,0.009227198,0.0663558199999999
"p_fit[246,3]",0.02970043275,0.02523715,0.0184872029069501,0.01399011012,0.009226699,0.0663540149999999
"p_fit[247,3]",0.0296996272925,0.02523645,0.018486868300688,0.01398966534,0.00922633,0.0663527049999999
"p_fit[248,3]",0.02969928863,0.02523615,0.0184867253877291,0.01398944295,0.00922618,0.0663521999999999
"p_fit[249,3]",0.029699092265,0.02523595,0.0184866462127848,0.01398936882,0.00922609,0.0663518049999999
"p_fit[250,3]",0.0296976672375,0.0252346,0.0184860555357651,0.01398870165,0.0092254415,0.0663494899999999
"p_fit[251,3]",0.02969723958,0.0252342,0.0184858764166865,0.01398847926,0.009225242,0.0663487849999999
